NAME|CATEGORY|CODE|NTID
ABRDMDAB03W|JUNIPER|E320|BLTMMD-VFTTP-56
ACTNMAMA0FW|JUNIPER|ERX-1440|BSTNMA-VFTTP-05
ACTNMAMA57W|JUNIPER|E320|BSTNMA-VFTTP-86
ACTNMAMA58W0110005A|JUNIPER|E320|BSTNMA-VFTTP-170
ADRNMIXG03W|CISCO|2811|DTRTMI-E911-01
ADRNMIXG04W|CISCO|2811|DTRTMI-E911-02
ALBYNYGD00W0113323A|JUNIPER|E320|ALBYNY-VFTTP-06
ALBYNYSS0CW|CISCO|12416|ALBYNY-SER-02
ALBYNYSS0EW|JUNIPER|ERX-1440|ALBYNY-SER-01
ALBYNYSS0LW-VIS|CISCO|12416|ALBYNY-LCR-01A
ALBYNYSS0LW|CISCO|12416|ALBYNY-LCR-01
ALBYNYSS1SW|CISCO|7206-VXR|ALBYNY-SAA-03
ALBYNYSS2SW|CISCO|7206-VXR|ALBYNY-SAA-02
ALBYNYSS60W04472A06A|JUNIPER|MX960|ALBYNY-AER-21
ALBYNYSS60W04472A08A|JUNIPER|MX960|ALBYNY-AER-22
ALBYNYSS60W04472A12A|JUNIPER|MX960|ALBYNYSS60W-MSR-X
ALBYNYSS60W04472A14A|CISCO|CRS-3-8 NG LCR|ALBYNY-LCR-21
ALBYNYSS60W07787A47A|JUNIPER|M40E|ALBYNY-AER-01
ALBYNYSS60W07787A57A|JUNIPER|M40E|ALBYNY-AER-02
ALBYNYSSERXG1|JUNIPER|ERX-1440|ALBYNY-ALBYNYSS-ERXG01
ALBYNYSSERX|JUNIPER|ERX-1440|ALBYNY-ALBYNYSS-ERXG01
ALBYNYSSG02|JUNIPER|ERX-1440|ALBYNY-ALBYNYSS-ERXG02
ALBYNYSSVS107788A31A|CISCO|6509|ALBYNY-VAR-01
ALMAMIXG04W|CISCO|2811|SGNWMI-E911-01
ALMAMIXG05W|CISCO|2811|SGNWMI-E911-02
ALNAPAALVMSESW|CISCO|2950|ALTNPA-ISW-01
ALNAPAALVMSRTR1|CISCO|2621XM|ALTNPA-IAR-01
ALNAPAALVMSRTR2|CISCO|2621XM|ALTNPA-IAR-02
ALNAPAEW1BR|CISCO|3640|ALT2-RTR10
ALNAPAEW1DR|CISCO|10008|ALT2-DSL-RTR1
ALNAPAEW1ER|CISCO|7513|ALT2-EDGE-RTR1
ALNAPAEW1RC|CISCO|6400|ALT2-6400-1
ALNAPAEW2BR|CISCO|3640|ALT2-RTR11
ALNAPAEW2CROLD|JUNIPER|M40E|ALT2-CORE-RTR2-OLD
ALNAPAEW2CR|JUNIPER|M320|ALT2-CORE-RTR2
ALNAPAEW2DR|CISCO|10008|ALT2-DSL-RTR2
ALNAPAEW3CR|JUNIPER|M40E|ALT2-CORE-RTR3
ALNAPAEW3DR|JUNIPER|ERX-1440|ALNAPAEW3DR
ALNAPAEW3ER|CISCO|10008|ALT2-EDGE-RTR3
ALNAPAEW4CR|JUNIPER|M40E|ALT2-CORE-RTR4
ALNAPAEW4DR|JUNIPER|ERX-1440|ALNAPAEW4DR
ALNAPAEW|JUNIPER|M320|ALT2-CORE-RTR1
ALT2-CORE-RTR1|JUNIPER|M320|ALT2-CORE-RTR1
ALTWMDAT02W|JUNIPER|E320|WASHDC-VFTTP-82
ALTWPAAL04W0226816A|JUNIPER|E320|PHLAPA-VFTTP-131
ALTWPAAL04W0226817A|JUNIPER|E320|PHLAPA-VFTTP-157
ALXNVAAX03W0221200A|JUNIPER|E320|WASHDC-VFTTP-134
ALXNVABA05W0117200A|JUNIPER|E320|WASHDC-VFTTP-135
ALXNVABA05W0117201A|JUNIPER|E320|WASHDC-VFTTP-147
ALXNVAFR03W|JUNIPER|E320|WASHDC-VFTTP-63
ALXNVAMV05W|JUNIPER|E320|WASHDC-VFTTP-105
ALXNVAMV0FW|JUNIPER|ERX-1440|WASHDC-VFTTP-29
AMBLPAAM0FW|JUNIPER|ERX-1440|PHLAPA-VFTTP-03
AMBLPAAM26W0222102A|JUNIPER|E320|PHLAPA-VFTTP-177
AMHRVAXA02W|JUNIPER|ERX-1440|AMHRVAXA02W
ANDVMAEL57W|JUNIPER|E320|BSTNMA-VFTTP-107
ANGLDEAN03W|JUNIPER|E320|PHLAPA-VFTTP-126
ANNPMDAN0EW02222231|JUNIPER|M40E|BLTMMD-AER-03
ANNPMDAN16W|JUNIPER|E320|BLTMMD-VFTTP-40
ANNPMDAN17W0220307A|JUNIPER|MX960|BLTMMD-AER-21
ANNPMDAN17W0220308A|JUNIPER|MX960|BLTMMD-AER-22
ANNPMDAN17W02222271|JUNIPER|M40E|BLTMMD-AER-05
ANNPMDAN17W02222291|JUNIPER|M40E|BLTMMD-AER-06
ANNPMDAN1EW02222251|JUNIPER|M40E|BLTMMD-AER-04
ARBTMDAR02W0110206A|JUNIPER|E320|BLTMMD-VFTTP-64
ARCLVAXA07W|JUNIPER|E320|WASHDC-VFTTP-85
ARCLVAXA09W0110311A|JUNIPER|E320|WASHDC-VFTTP-159
ARMGMDAR04W|JUNIPER|E320|BLTMMD-VFTTP-32
ARMGMDAR13W0112407A|JUNIPER|E320|BLTMMD-VFTTP-74
ARMRPAAR04W|JUNIPER|E320|PHLAPA-VFTTP-118
ARTNMAPL00W|JUNIPER|E320|BSTNMA-VFTTP-72
ARTNVA5604W|CISCO|7206-VXR|ARL-VZGW-RTR1
ARTNVA5605W|CISCO|7206-VXR|ARL-VRMGMT-RTR1
ARTNVA5606W|CISCO|7206-VXR|ARL-BLKHOLE-RTR1
ARTNVA561BR|CISCO|3640|ARL-RTR10
ARTNVA561CR|JUNIPER|M20BASEDC|ARL-CORE-RTR1
ARTNVA561GR|CISCO|7513|ARL-GTE-RTR1
ARTNVA561QR|CISCO|7513|ARL-QWEST-RTR1
ARTNVA562BR|CISCO|3640|ARL-RTR11
ARTNVA562CR|JUNIPER|M20BASEDC|ARL-CORE-RTR2
ARTNVA563ER|CISCO|10008|ARL-EDGE-RTR3
ARTNVA564ER|CISCO|10008|ARL-EDGE-RTR4
ARTNVAAR0CW|CISCO|12416|WASHDC-SER-04
ARTNVAAR0EW|JUNIPER|ERX-1440|WASHDC-SER-05
ARTNVAAR14W|CISCO|12416|WASHDC-LCR-06
ARTNVAAR15W|CISCO|12416|WASHDC-LCR-08
ARTNVAAR16W|JUNIPER|E320|WASHDC-VFTTP-115
ARTNVAAR1FW|JUNIPER|ERX-1440|WASHDC-VFTTP-06
ARTNVAAR1LW-VIS|CISCO|12416|WASHDC-LCR-02-VIS
ARTNVAAR1LW|CISCO|12416|WASHDC-LCR-02
ARTNVAAR1SW|CISCO|7206-VXR|WASHDC-SAA-01
ARTNVAAR2LW-VIS|CISCO|12416|WASHDC-LCR-04-VIS
ARTNVAAR2LW|CISCO|12416|WASHDC-LCR-04
ARTNVAAR2SW|CISCO|7206-VXR|WASHDC-SAA-04
ARTNVAAR3SW-IP-NCD|CISCO|7206-VXR|ARTNVAAR3SW-IP-NCD
ARTNVAAR85W TID|JUNIPER|MX960|ARTNVAAR85W-MSR-X
ARTNVAAR85W0119112A|CISCO|CRS-3 LCR|WASHDC-LCR-22
ARTNVAAR90W0118201A|JUNIPER|MX960|WASHDC-AER-29
ARTNVAAR90W0118202A|JUNIPER|MX960|WASHDC-AER-30
ARTNVAAR90W0118203A|JUNIPER|MX960|ARTNVAAR90W-MSR-X
ARTNVAAR90W0337025A|JUNIPER|E320|WASHDC-VFTTP-152
ARTNVAARERX|JUNIPER|ERX-1440|WASHDC-ARTNVAAR-ERXG01
ARTNVAARG02|JUNIPER|ERX-1440|WASHDC-ARTNVAAR-ERXG02
ARTNVAARVS0|CISCO|6509|WASHDC-VAR-01
ARTNVAARVS1|CISCO|6509|WASHDC-VAR-03
ARTNVAARVS20441023A|CISCO|6509|WASHDC-VAR-05
ARTNVAARVS20441025A|CISCO|6509|WASHDC-VAR-07
ARTNVACK0CW|CISCO|12416|WASHDC-SER-02
ARTNVACK0EW|JUNIPER|ERX-1440|WASHDC-SER-03
ARTNVACK12W|JUNIPER|E320|WASHDC-VFTTP-76
ARTNVACK1SW-TLS-NCD|CISCO|7206-VXR|ARTNVACK1SW-TLS-NCD
ARTNVAFC06W|JUNIPER|E320|WASHDC-VFTTP-91
ARTNVAFC07W|JUNIPER|E320|WASHDC-VFTTP-90
ARTNVAFC2FW|JUNIPER|ERX-1440|WASHDC-VFTTP-18
ARVGNYAV00W0001210A|JUNIPER|E320|NYCMNY-VFTTP-225
ASBNVAAS05W|JUNIPER|E320|CLPPVA-VFTTP-15
ASBNVAAS1BR|CISCO|3640|ASH-RTR10
ASBNVABJ1CR|JUNIPER|M320|IAD5-CORE-RTR1
ASBNVABJ1DR|CISCO|10008|IAD5-DSL-RTR1
ASBNVABJ1ER|CISCO|10008|IAD5-EDGE-RTR1
ASBNVABJ2CR|JUNIPER|M320|IAD5-CORE-RTR2
ASBNVABJ2DR|JUNIPER|ERX-1440|IAD5-DSL-RTR2
ASBNVABJRTR10|CISCO|3845|IAD5-RTR10
ASBNVABJRTR11|CISCO|3845|IAD5-RTR11
ASLDMAMA00W|JUNIPER|E320|BSTNMA-VFTTP-123
ASPKNJAP03W|JUNIPER|E320|NWRKNJ-VFTTP-82
ASTNRIAN00W0110914A|JUNIPER|E320|PRVDRI-VFTTP-26
ATHGNJAH00W|JUNIPER|E320|NWRKNJ-VFTTP-128
ATLBMABA03W0110705A|JUNIPER|E320|BSTNMA-VFTTP-155
ATLDGAUY04W|JUNIPER|ERX-1440|ATL01-SER-01
ATLDGAUY11W|CISCO|7206-VXR|ATL01-BCD-01
ATLDGAUY1BR|CISCO|3640|ATL01-RTR10
ATLDGAUY1CR|JUNIPER|M320|ATL01-CORE-RTR1
ATLDGAUY1DR|JUNIPER|ERX-1440|ATLDGAUY1DR
ATLDGAUY2BR|CISCO|3640|ATL01-RTR11
ATLDGAUY2CR|JUNIPER|M320|ATL01-CORE-RTR2
ATLDGAUY2DR|JUNIPER|ERX-1440|ATLDGAUY2DR
ATLDGAUY3DR|JUNIPER|ERX-1440|ATLDGAUY3DR
ATLNGAMQ1BR|CISCO|3640|ATL81-RTR10
ATSNNHMA0FW|JUNIPER|ERX-1440|CNCDNH-VFTTP-09
AUBNNYAU03W0120002A|JUNIPER|E320|SYRCNY-VFTTP-16
AUBNNYAU03W|JUNIPER|MX960|AUBNNYAU03W
AVDLPAAV03W|JUNIPER|E320|PHLAPA-VFTTP-125
BAVLNYBV00W0110401A|JUNIPER|E320|SYRCNY-VFTTP-17
BBYLNYBN57W|JUNIPER|E320|NYCMNY-VFTTP-93
BCHMPABU00W0110212A|JUNIPER|E320|PHLAPA-VFTTP-134
BCYNPABC06W|JUNIPER|E320|PHLAPA-VFTTP-128
BDBKNJBD04W|JUNIPER|E320|NWRKNJ-VFTTP-83
BDBKNJBD0FW|JUNIPER|ERX-1440|NWRKNJ-VFTTP-15
BDFRMAPA01W|JUNIPER|E320|BSTNMA-VFTTP-75
BDFRNHAM0FW|JUNIPER|ERX-1440|CNCDNH-FTTP-01
BDMNNJ0104W0113001A|JUNIPER|E320|NWRKNJ-VFTTP-156
BDVGNYBV03W0111700A|JUNIPER|E320|NYCMNY-VFTTP-194
BECNNYBE00W|JUNIPER|E320|PGHKNY-VFTTP-11
BFLONYEL60W0221123A|CISCO|7018|VHO15-7018-VBR02
BFLONYEL60W0221127A|CISCO|7018|VHO15-7018-VBR01
BFLONYELH030221221A|JUNIPER|MX960|BFLONY-SER-22
BFLONYELH030221223A|JUNIPER|MX960|BFLONY-SER-21
BFLONYFR08W|JUNIPER|M40E|BFLONY-AER-01
BFLONYFR09W|JUNIPER|M40E|BFLONY-AER-02
BFLONYFR0CW|CISCO|12416|BFLONY-SER-02
BFLONYFR0LW-VIS|CISCO|12416|BFLONY-LCR-01V
BFLONYFR0LW|CISCO|12416|BFLONY-LCR-01
BFLONYFR1SW|CISCO|7206-VXR|BFLONY-SAA-02
BFLONYFR2SW|CISCO|7206-VXR|BFLONY-SAA-03
